"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MXD4",4.17569044036996e-41,-0.314228345095035,0.245,0.473,1.40695713697825e-36
"UBE2L6",4.67362866938365e-41,0.609390738736247,0.56,0.462,1.57473244386213e-36
"NOP56",5.04936363851789e-41,-0.447868749638658,0.345,0.571,1.70133258436222e-36
"CCL3L3",5.19872241721765e-41,0.608650489977784,0.472,0.252,1.75165753125731e-36
"AAK1",5.35243008361264e-41,-0.402277436269275,0.245,0.471,1.80344779237244e-36
"MYO1F",6.55067524834065e-41,0.399765156465252,0.7,0.519,2.2071845181759e-36
"CAPG",6.73268602982767e-41,0.4756644933585,0.745,0.61,2.26851123089014e-36
"UBE2D1",1.30634091045548e-40,0.618052866202076,0.47,0.307,4.40158506368871e-36
"PBXIP1",1.6175715859526e-40,-0.328723031959392,0.105,0.261,5.4502457017087e-36
"SNRPE",1.6746951735267e-40,-0.46672332702432,0.456,0.656,5.64271791768087e-36
"BNIP3L",1.80242195728271e-40,0.583148778405504,0.575,0.46,6.07308054286835e-36
"RERE",2.11753444627626e-40,-0.28563829181298,0.177,0.377,7.13482056328323e-36
"ATP6V0B",2.31084782187181e-40,0.456406548594424,0.775,0.732,7.78617065101489e-36
"WSB1",2.88804056143396e-40,0.453241370575014,0.731,0.667,9.73096386769558e-36
"FAM102B",4.88104748609714e-40,-0.26382448864088,0.083,0.223,1.64462013996557e-35
"CORO1A",5.81570410675889e-40,0.396658067977902,0.904,0.764,1.95954334173134e-35
"TIMM10",6.23063205218744e-40,-0.267614080474001,0.224,0.441,2.09934916366403e-35
"SNRPA1",7.74295491939139e-40,-0.253961899519669,0.209,0.419,2.60891123053973e-35
"RBM17",1.0631529596632e-39,-0.296186226568951,0.281,0.521,3.58218758228918e-35
"GPSM3",1.0817376632193e-39,0.483888488507424,0.734,0.649,3.64480688245111e-35
"TGFB1",1.22347257957448e-39,0.48113121185251,0.664,0.576,4.12236850961827e-35
"ATF7IP2",1.30285581427005e-39,-0.331651353782859,0.175,0.367,4.3898423806015e-35
"SNRNP200",1.31053477653686e-39,-0.380519829933682,0.281,0.517,4.41571587606331e-35
"CDKN3",1.32537741114923e-39,-0.258583917851266,0.054,0.169,4.46572664912622e-35
"EPB41L4A-AS1",1.32911391270433e-39,-0.310013628454354,0.25,0.463,4.47831641746596e-35
"TRIB1",1.34304450643704e-39,0.54935006386297,0.502,0.293,4.52525415998895e-35
"DUSP6",1.43189689583416e-39,0.619280305067162,0.697,0.577,4.82463340082362e-35
"UROD",1.63077333056727e-39,-0.385986000921628,0.207,0.411,5.49472766001335e-35
"SRSF1",1.93963593835304e-39,-0.274590347497494,0.217,0.43,6.53540933068674e-35
"THEMIS2",2.31812880777332e-39,0.544749598894866,0.472,0.291,7.81070320491141e-35
"UBE2R2",2.49520366231291e-39,0.587939024873408,0.566,0.48,8.40733921979712e-35
"SYNGR1",4.40612080578535e-39,-0.282713889663615,0.189,0.388,1.48459834430131e-34
"TPI1",4.49776529904344e-39,0.392240939210782,0.84,0.772,1.5154770398597e-34
"CFDP1",6.22582786445146e-39,-0.269509483269022,0.263,0.498,2.09773044064827e-34
"UBTF",1.48116437746427e-38,-0.286816388192118,0.21,0.418,4.99063525342811e-34
"YWHAB",1.63674628103383e-38,0.407490501358526,0.869,0.816,5.5148529193154e-34
"CD86",1.74600885328037e-38,0.520630498586883,0.36,0.176,5.88300223024287e-34
"ILF3",2.66782394325738e-38,-0.342905392650691,0.309,0.546,8.98896599441141e-34
"CBX3",2.79250697068759e-38,-0.407834881066805,0.405,0.626,9.40907298703475e-34
