"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ETFB",6.40770729182498e-35,-0.325230909449048,0.701,0.717,2.15901289490751e-30
"TFAM",1.32272929729629e-34,-0.261428949871355,0.501,0.592,4.45680409431012e-30
"MRPL37",1.32399949883348e-34,-0.280937489504673,0.525,0.596,4.46108391136953e-30
"ADRM1",1.50244998992011e-34,-0.279904827472238,0.496,0.578,5.06235499603683e-30
"PSMB7",1.54635488317567e-34,-0.287455495054024,0.752,0.749,5.21028814337211e-30
"COMMD4",1.99088839016395e-34,-0.262855982606121,0.398,0.507,6.70809934181841e-30
"PDCD7",2.33460728860812e-34,-0.259272460862683,0.506,0.594,7.86622579823621e-30
"JTB",3.84705156129111e-34,-0.27955896036547,0.857,0.821,1.29622555306143e-29
"MT-ND5",4.49842916124274e-34,-0.260084200884182,0.993,0.944,1.51570072158913e-29
"TCEA1",6.89133524719566e-34,-0.318958983934508,0.685,0.711,2.32196649819011e-29
"FOSB",1.24748648178109e-33,-0.597964099539313,0.88,0.845,4.20328095171322e-29
"SMC3",1.30768467285768e-33,-0.301029606182056,0.54,0.616,4.40611273672665e-29
"UQCRQ",1.44130779769291e-33,-0.312657909302309,0.836,0.808,4.85634249354648e-29
"BANF1",2.06750813228223e-33,-0.285116669299243,0.809,0.784,6.96626190091175e-29
"IFITM3",2.69415390219639e-33,-0.322252092489581,0.382,0.481,9.0776821580605e-29
"LAMTOR4",3.24127507935408e-33,-0.282062805323523,0.82,0.811,1.09211522523756e-28
"MPC2",3.31216221917773e-33,-0.69925620182697,0.734,0.716,1.11599993812975e-28
"CARHSP1",4.02884888380156e-33,-0.478515185727457,0.386,0.487,1.3574803429081e-28
"EEF1E1",4.86005449283688e-33,-0.282266980900903,0.46,0.541,1.63754676081646e-28
"USP48",6.33437849669931e-33,-0.267091831705748,0.44,0.543,2.13430549067787e-28
"HMGA1",7.24194988376329e-33,-0.281876537943516,0.949,0.892,2.4401025938352e-28
"UBXN4",4.8905938523206e-32,-0.278329913741663,0.708,0.726,1.6478366926009e-27
"RABAC1",7.7698400030816e-32,-0.336755034129083,0.66,0.684,2.61796989063831e-27
"ATP1B3",1.18716192274007e-31,-0.327821103588949,0.633,0.68,4.00002338248041e-27
"PPP1CC",1.78462610739788e-31,-0.268595732370996,0.542,0.62,6.01311920626641e-27
"PSMA5",2.91758255692199e-31,-0.299150154939169,0.7,0.707,9.83050266729295e-27
"PSMC3",3.74210274851697e-31,-0.323445752049326,0.579,0.622,1.26086410008531e-26
"CANX",4.63270719542498e-31,-0.300212552682343,0.826,0.796,1.56094436242649e-26
"PDLIM1",7.68591017566757e-31,-0.251051556998782,0.458,0.58,2.58969057458943e-26
"FAM195A",1.20804970777035e-30,-0.275862665819224,0.404,0.495,4.0704026853614e-26
"CDV3",1.8502596704937e-30,-0.304531508862628,0.697,0.724,6.23426493376148e-26
"GPX1",3.28333779051488e-30,0.285895122085684,0.99,0.936,1.10628783513608e-25
"SPCS2",4.34389767649134e-30,-0.285078461014227,0.778,0.762,1.46363288311699e-25
"MANF",1.48772064840001e-29,-0.254075317111698,0.42,0.524,5.01272595271899e-25
"MRPS2",1.52583719204363e-29,-0.260655923635969,0.484,0.557,5.14115583487182e-25
"COX6C",3.57507169668466e-29,-0.259841041881362,0.945,0.886,1.20458465748093e-24
"BUD31",4.40654675055506e-29,-0.275160021357899,0.593,0.651,1.48474186213202e-24
"GSPT1",4.46268117290186e-29,-0.27897322836788,0.498,0.579,1.50365579439755e-24
"NDUFB3",7.35279921864438e-29,-0.264785527551584,0.516,0.592,2.47745216873004e-24
"CKS2",1.68112449561832e-28,-0.338877630482811,0.442,0.536,5.66438087553635e-24
"RTF1",2.08911467037589e-28,-0.267440291705898,0.754,0.75,7.03906297036451e-24
"MYL6B",2.19085075345865e-28,-0.275646407371034,0.496,0.574,7.38185252870357e-24
"TPR",2.22726570263836e-28,-0.26155737373095,0.649,0.685,7.5045490584697e-24
"FKBP4",3.38164592601063e-28,-0.327330724405173,0.493,0.565,1.13941177831002e-23
"FCGRT",3.69466557272202e-28,-0.28574401514236,0.274,0.389,1.24488061807296e-23
"GLRX5",7.26691912133299e-28,-0.487113634100989,0.662,0.668,2.44851572874194e-23
"VKORC1",9.52934123081114e-28,-0.252669787642509,0.555,0.612,3.21081623430951e-23
"CCT7",1.13314364653084e-27,-0.288798171458874,0.823,0.786,3.81801420262101e-23
"MPO",1.31966550876725e-27,-0.944746399695719,0.813,0.816,4.44648096524037e-23
"HLA-C",1.8887603257986e-27,-0.260882533705891,0.985,0.952,6.36398904174581e-23
"COPS6",1.98587249134896e-27,-0.279505216189417,0.577,0.632,6.69119877235119e-23
"SLC25A39",2.09981502027222e-27,-0.322691950319398,0.404,0.494,7.07511672930522e-23
"PSMB1",6.01744789113659e-27,-0.256466078331492,0.94,0.878,2.02751889243956e-22
"EIF2S2",7.32506696792755e-27,-0.257152055704837,0.78,0.77,2.46810806417351e-22
"EIF3J",8.20375564618697e-27,-0.280593846169083,0.66,0.689,2.76417342742624e-22
"SMIM1",8.29612456653715e-27,-0.309729944208684,0.122,0.206,2.79529621144903e-22
"PSMD12",1.08878123035484e-26,-0.261627435261422,0.38,0.475,3.66853947755761e-22
"LSM5",1.59583687102589e-26,-0.293929236297147,0.775,0.757,5.37701275323464e-22
"NME4",1.86812849309946e-26,-0.39250160870136,0.856,0.795,6.29447214464931e-22
"PSMD4",2.10579590911608e-26,-0.258517817230273,0.659,0.678,7.09526873617572e-22
"NGFRAP1",5.92749515070512e-26,-0.257041129130909,0.526,0.609,1.99721021607858e-21
"FUS",5.97003060360432e-26,-0.279952531970621,0.936,0.876,2.01154211157844e-21
"GLRX3",6.84567946455265e-26,-0.253174543173523,0.423,0.506,2.30658323878637e-21
"UROD",6.91615453876147e-26,-0.502623347553083,0.537,0.586,2.33032911029029e-21
"NDUFB6",7.01504655034448e-26,-0.268280032221791,0.484,0.552,2.36364978467307e-21
"LINC00936",1.03941409931334e-25,-0.46369868152192,0.404,0.484,3.50220186622637e-21
"MXD3",1.20959390055101e-25,-0.251684925962062,0.1,0.181,4.07560568851659e-21
"SRGN",1.79910187862876e-25,-0.589788574749858,0.919,0.845,6.06189386985174e-21
"SMARCA5",1.9582106365094e-25,-0.264699179797157,0.493,0.571,6.59799491865478e-21
"NUBP2",2.43030287582537e-25,-0.259707409766366,0.44,0.521,8.18866250980601e-21
"HNRNPM",4.28815602943843e-25,-0.274999442524262,0.879,0.843,1.44485129255899e-20
"SNRPA1",1.08609546782286e-24,-0.286967224689312,0.519,0.577,3.65949006928236e-20
"UBAC1",2.00938747535426e-24,-0.345386857404291,0.415,0.493,6.77043015945864e-20
"TRIM28",4.86579460967949e-24,-0.252418573914891,0.795,0.765,1.63948083578541e-19
"HP1BP3",5.69227984526568e-24,-0.270484282455383,0.602,0.653,1.91795677106382e-19
"TESC",6.50495377411749e-24,-0.284786902682661,0.52,0.581,2.19177912465115e-19
"RBM8A",4.10036259279714e-23,-0.270128898971728,0.855,0.815,1.38157617201707e-18
"MRPL13",1.12670865251641e-22,-0.264048380730136,0.42,0.493,3.79633213378879e-18
"POLE3",1.31317237310451e-22,-0.262886859384954,0.572,0.622,4.42460299393833e-18
"GAR1",1.89675076946012e-22,-0.273419620415662,0.434,0.505,6.39091204261894e-18
"PSMB2",5.16045516549652e-22,-0.269678515076487,0.73,0.721,1.7387637634624e-17
"MTCH2",6.29608858745423e-22,-0.253993271966487,0.444,0.511,2.12140408865683e-17
"TCF3",1.12922702098587e-21,-0.329328338000498,0.32,0.408,3.80481752450979e-17
"PTBP1",1.72102393225568e-21,-0.252665025131831,0.699,0.703,5.7988180373423e-17
"ECH1",1.84956553832309e-21,-0.257056955455374,0.822,0.777,6.23192612482583e-17
"DUSP1",1.89730739358621e-21,0.25239202174212,0.917,0.85,6.39278753194937e-17
"COX6A1",3.81431563632921e-21,-0.256265092847427,0.92,0.858,1.28519551050476e-16
"JUN",9.99247491380255e-21,-0.450094845585765,0.721,0.776,3.36686449745663e-16
"SRSF10",1.07897542982969e-20,-0.289998675898497,0.817,0.783,3.63549981326816e-16
"GNL3",1.50401358682618e-20,-0.253548913833179,0.521,0.569,5.06762337945213e-16
"NOP10",1.61753027656914e-20,-0.334770744293288,0.754,0.731,5.45010651387205e-16
"EGR1",1.83172534919806e-20,-0.472147988595742,0.554,0.594,6.17181539158795e-16
"ILF2",2.02701942547282e-20,-0.274848431735575,0.825,0.787,6.82983925218813e-16
"ECI2",6.72555773015565e-20,-0.251641493539422,0.401,0.474,2.26610942159864e-15
"MRPL34",7.99604907682447e-20,-0.255883378006629,0.529,0.58,2.69418877594524e-15
"S100A11",1.02244268368155e-19,-0.278254082779821,0.144,0.228,3.44501837839662e-15
"FLNA",1.37095813415055e-19,-0.367459352355316,0.603,0.635,4.61930633720685e-15
"ARL2",1.55186687285579e-19,-0.26420762446999,0.624,0.632,5.22886024140029e-15
"ANAPC11",1.71443017346357e-19,-0.274090777757437,0.733,0.73,5.77660102646816e-15
"KPNA2",5.39943121735679e-19,-0.277039521860901,0.305,0.391,1.8192843543762e-14
"PRPF4B",1.05403905224237e-18,-0.259100471230081,0.538,0.595,3.55147918262544e-14
"TCF4",1.35038227886059e-18,-0.35139444518075,0.495,0.568,4.54997805039286e-14
"TMEM14C",2.63517226453461e-18,-0.394516377616202,0.734,0.718,8.87894942812293e-14
"VAMP5",2.84405088437639e-18,-0.394969962922225,0.633,0.618,9.58274504981782e-14
"CCND3",2.97403498501125e-18,-0.572263240683226,0.343,0.421,1.00207134784969e-13
"SRI",3.05384587623065e-18,-0.270400809825406,0.694,0.676,1.02896282953716e-13
"ARPP21",6.30213320274326e-18,-0.266374587319269,0.159,0.083,2.12344076133231e-13
"POLR2L",9.6679361547023e-18,-0.258324399206772,0.804,0.767,3.25751440796539e-13
"IGHM",2.16407648796694e-17,-0.399200498022517,0.112,0.175,7.2916393185558e-13
"PRSS21",2.49533995029537e-17,-0.266078370437911,0.584,0.594,8.40779842852523e-13
"SOD1",1.26265892582712e-16,-0.291309000945724,0.916,0.851,4.25440298468191e-12
"ARL6IP1",1.50287792639329e-16,-0.276517251178572,0.626,0.657,5.06379688518956e-12
"CXCL8",2.07497911077214e-16,0.272794134058266,0.163,0.096,6.99143461583565e-12
"CACYBP",5.02805316250016e-16,-0.256386141009959,0.708,0.682,1.69415223257280e-11
"SMC4",7.30035439761967e-16,-0.372695147879277,0.508,0.554,2.45978141073397e-11
"ZEB2",7.52197675378615e-16,-0.386277463613178,0.803,0.77,2.5344548474207e-11
