"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD53",9.01100350659029e-35,-0.382835108190163,0.465,0.565,3.03616752151053e-30
"GBP4",9.89606609789392e-35,-0.273529590614075,0.324,0.441,3.33438051102438e-30
"SLC45A3",1.05500452245579e-34,-0.274605899591794,0.268,0.394,3.55473223796255e-30
"N4BP2L2",1.14728894470134e-34,-0.340373307678908,0.772,0.792,3.86567537027671e-30
"HIST2H2AC",1.49506366473484e-34,-0.283923895558768,0.267,0.379,5.03746751195757e-30
"EGR1",2.00781453438886e-34,-0.64483138719356,0.645,0.666,6.76513029216982e-30
"TMSB10",3.67894996215862e-34,-0.344885179363054,0.993,0.983,1.23958540024973e-29
"LSP1",4.87201197905441e-33,-0.276881981991794,0.737,0.774,1.64157571622259e-28
"ISG20",5.61437197363106e-33,-0.396679759698045,0.239,0.356,1.89170649279525e-28
"LITAF",6.88595534754725e-33,-0.276322369694544,0.352,0.471,2.32015379480257e-28
"PET100",1.82450120657593e-32,-0.277704467226025,0.635,0.671,6.14747436543694e-28
"AHNAK",1.86879188284944e-32,-0.318187667451993,0.31,0.43,6.2967073700729e-28
"SEC62",2.02204130747932e-32,-0.265210884145891,0.802,0.804,6.81306598142082e-28
"ATPIF1",3.5101712775252e-32,0.483675072859209,0.941,0.867,1.18271711024934e-27
"TRBC2",4.35181860252785e-32,-0.521379818687949,0.374,0.492,1.46630175993573e-27
"ARHGAP15",6.97074931955348e-32,-0.288124444677664,0.531,0.6,2.34872427573035e-27
"IL1B",1.44281808603715e-31,-0.386645695408085,0.602,0.655,4.86143125909356e-27
"SNHG7",2.93282813922461e-31,-0.269408505828136,0.91,0.852,9.88187113230339e-27
"MDK",3.33229636974402e-31,-0.373143423089667,0.45,0.546,1.12278393882155e-26
"HBA1",6.71785137227089e-31,-0.377037914684053,0.232,0.124,2.26351284137295e-26
"GABPB1-AS1",1.2204501015815e-30,-0.343158163349564,0.871,0.843,4.11218457226871e-26
"MZB1",1.35925319747987e-30,-0.3268576117005,0.251,0.363,4.57986772358868e-26
"GLRX",2.58490066510715e-30,0.503223531272424,0.642,0.542,8.70956430101203e-26
"TBC1D10C",2.8232334056621e-30,-0.359679609578307,0.373,0.47,9.51260263703786e-26
"MPO",7.24125560436281e-30,0.415912689756669,0.319,0.19,2.43986866333401e-25
"LYZ",9.70533055021591e-30,1.30542225841912,0.416,0.281,3.27011407558975e-25
"ITM2B",1.23617267643578e-29,-0.279368593365995,0.929,0.911,4.1651602159827e-25
"TAP1",1.31735198385555e-29,-0.287558251665069,0.497,0.564,4.43868577440289e-25
"GLS",1.32193067987737e-29,-0.265121997780849,0.426,0.517,4.45411323277881e-25
"LIMD2",2.74172755968796e-29,-0.3084633631463,0.85,0.854,9.2379768396126e-25
"CORO1A",5.75513828294817e-29,-0.462799959910495,0.582,0.677,1.93913629305656e-24
"GATA2",5.8038388245408e-29,-0.429195244724286,0.561,0.628,1.95554545354078e-24
"PRMT2",6.19075750967511e-29,-0.329227495457033,0.421,0.51,2.08591383530993e-24
"RNF213",1.46080888756701e-28,-0.425753712763651,0.342,0.442,4.92204946576829e-24
"ITGB2",9.45641260568599e-28,-0.317997451984727,0.463,0.553,3.18624366335984e-23
"AES",1.92520313459161e-27,-0.409631503010919,0.85,0.848,6.48677944169296e-23
"CALCOCO2",1.97089648191419e-27,-0.273262075995413,0.489,0.55,6.64073860616167e-23
"LMO4",1.97128757956083e-27,-0.46356070754431,0.568,0.619,6.64205637057227e-23
"DNAJC1",2.62027608825997e-27,-0.271820984503193,0.622,0.652,8.82875825178314e-23
"VMP1",3.58392793946219e-27,-0.273641013883972,0.457,0.53,1.20756867992239e-22
"KCNQ1OT1",8.99499743074091e-27,-0.349725761044979,0.447,0.549,3.03077443431384e-22
"TCF7",1.25355666538826e-26,-0.303557322597683,0.112,0.197,4.22373382835919e-22
"SELL",1.63245891187845e-26,-0.314358347338195,0.557,0.644,5.50040705768324e-22
"TPSAB1",2.54704042812362e-26,-0.471197787218819,0.202,0.302,8.58199801851974e-22
"PTPN6",2.75720214273092e-26,-0.267853749496881,0.603,0.649,9.29011689971755e-22
"FAM107B",4.31716742948445e-26,-0.283545439457435,0.16,0.255,1.45462639369049e-21
"DDX3X",4.88908092730971e-26,-0.365351604430732,0.71,0.73,1.64732692764773e-21
"CXCR4",1.80030737290798e-25,-0.565446388984376,0.322,0.416,6.06595566227614e-21
"RCAN3",4.92690037300564e-25,-0.253281731999781,0.14,0.227,1.66006981168052e-20
"FNBP1",5.35248726956408e-25,-0.254524849159211,0.581,0.658,1.80346706060692e-20
"TAOK3",7.42489715814573e-25,-0.251355630507678,0.777,0.774,2.50174484846562e-20
"IRF9",1.68682857800607e-24,-0.26252326571071,0.352,0.446,5.68360021073364e-20
"REXO2",4.34647945838188e-24,0.340224705606656,0.651,0.575,1.46450278870719e-19
"AKNA",1.0589161390072e-23,-0.250866490672981,0.178,0.269,3.56791203877086e-19
"RARRES3",2.29798379308428e-23,-0.380401080702041,0.498,0.564,7.74282659241817e-19
"AREG",1.12871714006406e-22,0.601803841583656,0.462,0.352,3.80309953173184e-18
"RHOB",1.3802793053978e-22,-0.254688239292054,0.386,0.47,4.65071309160734e-18
"SLC38A2",2.03322403800135e-22,-0.290529919070588,0.566,0.608,6.85074507364174e-18
"MBP",5.02827981572317e-22,-0.29369620226468,0.427,0.494,1.69422860110976e-17
"ODF2L",6.85841263494514e-22,-0.258224959412932,0.439,0.508,2.31087355321841e-17
"CCNL1",1.19383869837837e-21,-0.303445635757499,0.855,0.831,4.02252011031607e-17
"MALAT1",1.46383436636728e-21,-0.471511917446029,0.991,0.996,4.93224351403792e-17
"S100A4",1.62529311307028e-21,0.486657097526984,0.877,0.827,5.47626261517899e-17
